Geoneutrinos, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 
   7.9150000e+05   8.1709000e+01
   7.9250000e+05   8.1706000e+01
   7.9350000e+05   8.1703000e+01
   7.9450000e+05   8.1700000e+01
   7.9550000e+05   8.1698000e+01
   7.9650000e+05   8.1696000e+01
   7.9750000e+05   8.1693000e+01
   7.9850000e+05   8.1691000e+01
   7.9950000e+05   8.1689000e+01
   8.0050000e+05   8.1687000e+01
   8.0150000e+05   8.1684000e+01
   8.0250000e+05   8.1679000e+01
   8.0350000e+05   8.1674000e+01
   8.0450000e+05   8.1669000e+01
   8.0550000e+05   8.1664000e+01
   8.0650000e+05   8.1660000e+01
   8.0750000e+05   8.1655000e+01
   8.0850000e+05   8.1650000e+01
   8.0950000e+05   8.1645000e+01
   8.1050000e+05   8.1640000e+01
   8.1150000e+05   8.1634000e+01
   8.1250000e+05   8.1626000e+01
   8.1350000e+05   8.1618000e+01
   8.1450000e+05   8.1611000e+01
   8.1550000e+05   8.1602000e+01
   8.1650000e+05   8.1593000e+01
   8.1750000e+05   8.1585000e+01
   8.1850000e+05   8.1576000e+01
   8.1950000e+05   8.1567000e+01
   8.2050000e+05   8.1552000e+01
   8.2150000e+05   8.1542000e+01
   8.2250000e+05   8.1531000e+01
   8.2350000e+05   8.1519000e+01
   8.2450000e+05   8.1348000e+01
   8.2550000e+05   8.1337000e+01
   8.2650000e+05   8.1325000e+01
   8.2750000e+05   8.1314000e+01
   8.2850000e+05   8.1302000e+01
   8.2950000e+05   8.1290000e+01
   8.3050000e+05   8.1279000e+01
   8.3150000e+05   8.1266000e+01
   8.3250000e+05   8.1252000e+01
   8.3350000e+05   8.1238000e+01
   8.3450000e+05   8.1223000e+01
   8.3550000e+05   8.1209000e+01
   8.3650000e+05   8.1195000e+01
   8.3750000e+05   8.1180000e+01
   8.3850000e+05   8.1166000e+01
   8.3950000e+05   8.1151000e+01
   8.4050000e+05   8.1137000e+01
   8.4150000e+05   8.1122000e+01
   8.4250000e+05   8.1104000e+01
   8.4350000e+05   8.1087000e+01
   8.4450000e+05   8.1070000e+01
   8.4550000e+05   8.1053000e+01
   8.4650000e+05   8.1036000e+01
   8.4750000e+05   8.1019000e+01
